Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
Advent Sunday,30/11/2003,,,,TRUE,"Lectionary Details for 30/11/2003
Year: C/2 Colour: Purple  Creed - Divine Office Week: 1
Readings for Mass First Reading: Jeremiah 33:14-16 Responsorial Psalm: Psalm 25 Second Reading: 1 Thessalonians 3:12-4:2 Gospel: Luke 21:25-28; 34-36

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Andrew, Apostle ",01/12/2003,,,,TRUE,"Lectionary Details for 01/12/2003
Year: C/2 Colour: Red Gloria  - Divine Office Week: 1
Readings for Mass First Reading: Isaiah 2:1-5 Responsorial Psalm: Psalms 122:1-2, 3-4, 8-9 or 122:1-2, 3-4, 4-5, 6-7, 8-9 Gospel: Matthew 8:5-11

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Tuesday of the First week of Advent,02/12/2003,,,,TRUE,"Lectionary Details for 02/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 1
Readings for Mass First Reading: Isaiah 11:1-10 Responsorial Psalm: Psalms 72:1, 7-8, 12-13, 17 Gospel: Luke 10:21-24

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Francis Xavier, Priest, 1552 ",03/12/2003,,,,TRUE,"Lectionary Details for 03/12/2003
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass From the Common of pastors [for missionaries] Especially First Reading: First Corinthians 9:16-19, 22-23 Gospel: Mark 16:15-20 or From the Proper of the Season (Wednesday of the First week of Advent) First Reading: Isaiah 25:6-10 Responsorial Psalm: Psalms 23:1-3, 3-4, 5, 6 Gospel: Matthew 15:29-37

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"John of Damascus, Priest, Doctor, 749; Nicolas Ferrar, Deacon, Religious, Founder of the Little Gidding Community, 1637",04/12/2003,,,,TRUE,"Lectionary Details for 04/12/2003
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass First Reading: Isaiah 26:1-6 Responsorial Psalm: Psalms 118:1, 8-9, 19-21, 25-27 Gospel: Matthew 7:21, 24-27 Saint John Damascene, priest and doctor - Optional Memorial Readings for Mass From the Common of pastors or From the Common of doctors of the Church Especially First Reading: Second Timothy 1:13-14; 2:1-3 or From the Proper of the Season

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Friday of the First week of Advent,05/12/2003,,,,TRUE,"Lectionary Details for 05/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 1
Readings for Mass First Reading: Isaiah 29:17-24 Responsorial Psalm: Psalms 27:1, 4, 13-14 Gospel: Matthew 9:27-31

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Nicholas of Myra, Bishop, 326",06/12/2003,,,,TRUE,"Lectionary Details for 06/12/2003
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass First Reading: Isaiah 30:19-21, 23-26 Responsorial Psalm: Psalms 147:1-2, 3-4, 5-6 Gospel: Matthew 9:35--10:1, 6-8 Saint Nicholas, bishop - Optional Memorial Readings for Mass From the Common of pastors or From the Proper of the Season

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Second Sunday of Advent,07/12/2003,,,,TRUE,"Lectionary Details for 07/12/2003
Year: C/2 Colour: Purple  Creed - Divine Office Week: 2
Readings for Mass First Reading: Baruch 5:1-9 Responsorial Psalm: Psalms 126:1-2, 2-3, 4-5, 6 Second Reading: Philippians 1:4-6, 8-11 Gospel: Luke 3:1-6

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Immaculate Conception of the Virgin Mary,08/12/2003,,,,TRUE,"Lectionary Details for 08/12/2003
Year: C/2 Colour: White Gloria Creed - Divine Office Week: 2
Readings for Mass First Reading: Genesis 3:9-15, 20 Responsorial Psalm: Psalms 98:1, 2-3, 3-4 Second Reading: Ephesians 1:3-6, 11-12 Gospel: Luke 1:26-38

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Tuesday of the Second week of Advent,09/12/2003,,,,TRUE,"Lectionary Details for 09/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 2
Readings for Mass First Reading: Isaiah 40:1-11 Responsorial Psalm: Psalms 96:1-2, 3, 10, 11-12, 13 Gospel: Matthew 18:12-14 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
