Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
First Sunday of Advent [1] Violet,02/12/2007,00:00:00,03/12/2007,00:00:00,TRUE,FALSE,01/12/2007,23:45:00,,,,,,,"Eucharist
Isaiah 2:1-5
Psalm 122
Romans 13:11-14
Matthew 24:36-44

Daily Prayer
Isaiah 1:1-20
1 Thessalonians 5:1-11
John 3:1-17
",,,Normal,,Normal,3
"Francis Xavier,  Priest and Missionary,  1552 [6] White",03/12/2007,00:00:00,04/12/2007,00:00:00,TRUE,FALSE,02/12/2007,23:45:00,,,,,,,"Daily Eucharist
Isaiah 2:1-5
Psalm 122 
Matthew 8:5-13

Daily Prayer
Amos 1:1-3, 13-2:16 
2 Peter 1:1-11 
Matthew 21:1-11 
",,,Normal,,Normal,3
"Clement of Alexandria,  Teacher of the Faith,  c:210 [6] White",04/12/2007,00:00:00,05/12/2007,00:00:00,TRUE,FALSE,03/12/2007,23:45:00,,,,,,,"Daily Eucharist 
Isaiah 11:1-10 
Psalm 72:1-8 
Luke 10:21-24 

Daily Prayer
Amos 3:1-11 
2 Peter 1:12-21 
Matthew 21:12-22
",,,Normal,,Normal,3
Wednesday of Advent 1,05/12/2007,00:00:00,06/12/2007,00:00:00,TRUE,FALSE,04/12/2007,23:45:00,,,,,,,"Daily Eucharist 
Isaiah 25:6-9 
Psalm 23 
Matthew 15:29-39 

Daily Prayer 
Amos 3:12-4:5 
2 Peter 3:1-10 
Matthew 21:23-32 
",,,Normal,,Normal,3
"Nicholas of Myra,  Bishop,  4th century [6] White",06/12/2007,00:00:00,07/12/2007,00:00:00,TRUE,FALSE,05/12/2007,23:45:00,,,,,,,"Daily Eucharist 
Isaiah 26:1-6 
Psalm 118:19-24 
Matthew 7:21-27 

Daily Prayer 
Amos 4:6-13 
2 Peter 3:11-18 
Matthew 21:33-46 
",,,Normal,,Normal,3
"Amosbrose of Milan,  Bishop and Teacher of the Faith,  c:210 [6] White",07/12/2007,00:00:00,08/12/2007,00:00:00,TRUE,FALSE,06/12/2007,23:45:00,,,,,,,"Daily Eucharist 
Isaiah 29:17-24 
Psalm 27:1-6, 17-18 
Matthew 9:27-31 

Daily Prayer 
Amos 5:1-17 
Jude 1-16 
Matthew 22:1-14 
",,,Normal,,Normal,3
"Conception of Mary,  Mother of the Lord [5] White",08/12/2007,00:00:00,09/12/2007,00:00:00,TRUE,FALSE,07/12/2007,23:45:00,,,,,,,"Common readings for saints days

Mary,  Mother of the Lord

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

Micah 5:1-4
Psalm 131
Ga 4:4-7
John 9:25-27
",,,Normal,,Normal,3
Second Sunday of Advent [1] Violet,09/12/2007,00:00:00,10/12/2007,00:00:00,TRUE,FALSE,08/12/2007,23:45:00,,,,,,,"Eucharist
Isaiah 11:1-10
Psalm 72:1-7, 18-19
Romans 15:4-13
Matthew 3:1-12

Daily Prayer
1 Kings 22:1-28
Romans 13:11-14
John 1:19-28
",,,Normal,,Normal,3
Monday of Advent 2,10/12/2007,00:00:00,11/12/2007,00:00:00,TRUE,FALSE,09/12/2007,23:45:00,,,,,,,"Daily Eucharist
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

Daily Prayer 
Amos 6:1-14 
Revelation 1:1-8 
Matthew 22:23-33 
",,,Normal,,Normal,3
Tuesday of Advent 2,11/12/2007,00:00:00,12/12/2007,00:00:00,TRUE,FALSE,10/12/2007,23:45:00,,,,,,,"Daily Eucharist
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

Daily Prayer
Amos 7:1-17 
Revelation 1:9-16 
Matthew 22:34-46
",,,Normal,,Normal,3
