Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
First Sunday of Advent [1] Violet,30/11/2008,,,,TRUE,,3
"Andrew, Apostle, Patron of Scotland [4] Red (translated from 30 November)",01/12/2008,,,,TRUE,,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2008,,,,TRUE,,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2008,,,,TRUE,,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2008,,,,TRUE,,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White (translated from 1 December)",05/12/2008,,,,TRUE,,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2008,,,,TRUE,,3
Second Sunday of Advent [1] Violet,07/12/2008,,,,TRUE,,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2008,,,,TRUE,,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White (translated from 7 December)",09/12/2008,,,,TRUE,,3
Wednesday after Second Sunday of Advent,10/12/2008,,,,TRUE,,3
Thursday after Second Sunday of Advent,11/12/2008,,,,TRUE,,3
"Friday after Second Sunday of Advent (Ordination of the Bishop of Glasgow, 1998)",12/12/2008,,,,TRUE,,3
Saturday after Second Sunday of Advent,13/12/2008,,,,TRUE,,3
Third Sunday of Advent [1] Violet,14/12/2008,,,,TRUE,,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White (translated from 14 December)",15/12/2008,,,,TRUE,,3
Tuesday after Third Sunday of Advent,16/12/2008,,,,TRUE,,3
Wednesday after Third Sunday of Advent,17/12/2008,,,,TRUE,,3
Thursday after Third Sunday of Advent,18/12/2008,,,,TRUE,,3
Friday after Third Sunday of Advent,19/12/2008,,,,TRUE,,3
Saturday after Third Sunday of Advent,20/12/2008,,,,TRUE,,3
Fourth Sunday of Advent [1] Violet,21/12/2008,,,,TRUE,,3
"Thomas, Apostle [4] Red (if not kept on 3 July) (translated from 21 December)",22/12/2008,,,,TRUE,,3
Tuesday after Fourth Sunday of Advent,23/12/2008,,,,TRUE,,3
Christmas Eve [2],24/12/2008,,,,TRUE,,3
CHRISTMAS DAY [1] White,25/12/2008,,,,TRUE,,3
"Stephen, Deacon and Martyr [4] Red",26/12/2008,,,,TRUE,,3
"John, Apostle and Evangelist [4] White",27/12/2008,,,,TRUE,,3
First Sunday after Christmas [2] White,28/12/2008,,,,TRUE,,3
The Holy Innocents [4] White (translated from 28 December),29/12/2008,,,,TRUE,,3
"Josephine Butler, 1905 [6] White",30/12/2008,,,,TRUE,,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2008,,,,TRUE,,3
THE NAMING OF JESUS [2] White,01/01/2009,,,,TRUE,,3
"Seraphim of Sarov, 1833 [6] White",02/01/2009,,,,TRUE,,3
Saturday after First Sunday after Christmas,03/01/2009,,,,TRUE,,3
Second Sunday after Christmas [3] White,04/01/2009,,,,TRUE,,3
Monday after Second Sunday after Christmas,05/01/2009,,,,TRUE,,3
THE EPIPHANY [1] White,06/01/2009,,,,TRUE,,3
Wednesday after Second Sunday after Christmas,07/01/2009,,,,TRUE,,3
Thursday after Second Sunday after Christmas,08/01/2009,,,,TRUE,,3
Friday after Second Sunday after Christmas,09/01/2009,,,,TRUE,,3
"William Laud, Bishop, 1645 [6] Red",10/01/2009,,,,TRUE,,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,11/01/2009,,,,TRUE,,3
"David, King of Scots, 1153 [6] Red (translated from 11 January)",12/01/2009,,,,TRUE,,3
"Kentigern (or Mungo), Bishop c.603 [4] White",13/01/2009,,,,TRUE,,3
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",14/01/2009,,,,TRUE,,3
Thursday after First Sunday after Epiphany,15/01/2009,,,,TRUE,,3
Friday  after First Sunday after Epiphany,16/01/2009,,,,TRUE,,3
"Antony of Egypt, Abbot, 356 [6] White",17/01/2009,,,,TRUE,,3
Second Sunday after Epiphany [3] Green,18/01/2009,,,,TRUE,,3
The Confession of Peter [6] White (translated from 18 January),19/01/2009,,,,TRUE,,3
Tuesday after Second Sunday after Epiphany,20/01/2009,,,,TRUE,,3
"Agnes, Martyr, c.304 [6] Red",21/01/2009,,,,TRUE,,3
Thursday after Second Sunday after Epiphany,22/01/2009,,,,TRUE,,3
Friday after Second Sunday after Epiphany,23/01/2009,,,,TRUE,,3
"Francis de Sales, Bishop, 1622 [6] White",24/01/2009,,,,TRUE,,3
Third Sunday after Epiphany [3] Green,25/01/2009,,,,TRUE,,3
"The Conversion of Paul, Apostle [4] White (translated from 25 January)",26/01/2009,,,,TRUE,,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",27/01/2009,,,,TRUE,,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2009,,,,TRUE,,3
"Timothy and Titus, Bishops [6] White (translated from 26 January)",29/01/2009,,,,TRUE,,3
"Charles I, King, 1649 [6] Red",30/01/2009,,,,TRUE,,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",31/01/2009,,,,TRUE,,3
Fourth Sunday after Epiphany [3] Green,01/02/2009,,,,TRUE,,3
THE PRESENTATION OF THE LORD [2] White,02/02/2009,,,,TRUE,,3
Saints and Martyrs of Europe [6] Red,03/02/2009,,,,TRUE,,3
"Bride of Kildare, Abbess, c.525 [6] White (translated from 1 February)",04/02/2009,,,,TRUE,,3
Thursday after Fourth Sunday after Epiphany,05/02/2009,,,,TRUE,,3
"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",06/02/2009,,,,TRUE,,3
Saturday after Fourth Sunday after Epiphany,07/02/2009,,,,TRUE,,3
Fifth Sunday after Epiphany [3] Green (Third Sunday before Lent) (SPB Septuagesima - Violet),08/02/2009,,,,TRUE,,3
Monday after Fifth Sunday after Epiphany,09/02/2009,,,,TRUE,,3
"Scholastica, Religious, 543 [6] White",10/02/2009,,,,TRUE,,3
Wednesday after Fifth Sunday after Epiphany,11/02/2009,,,,TRUE,,3
Thursday after Fifth Sunday after Epiphany,12/02/2009,,,,TRUE,,3
Friday after Fifth Sunday after Epiphany,13/02/2009,,,,TRUE,,3
"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White",14/02/2009,,,,TRUE,,3
Sixth Sunday after Epiphany [3] Green (Second Sunday before Lent) (SPB Sexagesima - Violet),15/02/2009,,,,TRUE,,3
"Thomas Bray, Priest and Missionary, 1730 [6] White (translated from 15 February)",16/02/2009,,,,TRUE,,3
"Finan of Lindisfarne, Bishop, 661 [6] White",17/02/2009,,,,TRUE,,3
"Colman of Lindisfarne, Bishop, 767 [6] White",18/02/2009,,,,TRUE,,3
"Martin Luther, 1545 [6] White",19/02/2009,,,,TRUE,,3
Friday after Sixth Sunday after Epiphany,20/02/2009,,,,TRUE,,3
Saturday after Sixth Sunday after Epiphany,21/02/2009,,,,TRUE,,3
Sunday before Lent [3] Green (SPB Quinquagesima - Violet),22/02/2009,,,,TRUE,,3
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",23/02/2009,,,,TRUE,,3
Tuesday after Sunday before Lent,24/02/2009,,,,TRUE,,3
Ash Wednesday [1] Violet or Lenten Array,25/02/2009,,,,TRUE,,3
Thursday after Ash Wednesday,26/02/2009,,,,TRUE,,3
Friday after Ash Wednesday,27/02/2009,,,,TRUE,,3
Saturday after Ash Wednesday,28/02/2009,,,,TRUE,,3
First Sunday of Lent [1] Violet or Lenten Array,01/03/2009,,,,TRUE,,3
"Chad of Lichfield, Bishop, 672 [6] White",02/03/2009,,,,TRUE,,3
"John and Charles Wesley, Priests, 1791 and 1788 [6] White",03/03/2009,,,,TRUE,,3
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",04/03/2009,,,,TRUE,,3
"David, Bishop, Patron of Wales, c.544 [6] White (translated from 1 March)",05/03/2009,,,,TRUE,,3
"Baldred, Bishop, 608 [6] White",06/03/2009,,,,TRUE,,3
"Perpetua and her Companions, Martyrs, 203 [6] Red",07/03/2009,,,,TRUE,,3
Second Sunday of Lent [1] Violet or Lenten Array,08/03/2009,,,,TRUE,,3
"Duthac, Bishop, 1068 [6] White (translated from 8 March)",09/03/2009,,,,TRUE,,3
"Kessog, Bishop, c.700 [6] Red",10/03/2009,,,,TRUE,,3
"Wednesday after Second Sunday of Lent (Ordination of the Bishop of St Andrews, 2005)",11/03/2009,,,,TRUE,,3
Thursday after Second Sunday of Lent,12/03/2009,,,,TRUE,,3
Friday after Second Sunday of Lent,13/03/2009,,,,TRUE,,3
Saturday after Second Sunday of Lent,14/03/2009,,,,TRUE,,3
Third Sunday of Lent [1] Violet or Lenten Array,15/03/2009,,,,TRUE,,3
"Boniface of Ross, Bishop, 8th century [6] White",16/03/2009,,,,TRUE,,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White",17/03/2009,,,,TRUE,,3
