Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
First Sunday of Advent [1] Violet,29/11/2009,00:00:00,30/11/2009,00:00:00,TRUE,FALSE,28/11/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2009,00:00:00,01/12/2009,00:00:00,TRUE,FALSE,29/11/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2009,00:00:00,02/12/2009,00:00:00,TRUE,FALSE,30/11/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2009,00:00:00,03/12/2009,00:00:00,TRUE,FALSE,01/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2009,00:00:00,04/12/2009,00:00:00,TRUE,FALSE,02/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2009,00:00:00,05/12/2009,00:00:00,TRUE,FALSE,03/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after First Sunday of Advent,05/12/2009,00:00:00,06/12/2009,00:00:00,TRUE,FALSE,04/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
Second Sunday of Advent [1] Violet,06/12/2009,00:00:00,07/12/2009,00:00:00,TRUE,FALSE,05/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2009,00:00:00,08/12/2009,00:00:00,TRUE,FALSE,06/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2009,00:00:00,09/12/2009,00:00:00,TRUE,FALSE,07/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White (translated from 7 December)",09/12/2009,00:00:00,10/12/2009,00:00:00,TRUE,FALSE,08/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Second Sunday of Advent,10/12/2009,00:00:00,11/12/2009,00:00:00,TRUE,FALSE,09/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Second Sunday of Advent,11/12/2009,00:00:00,12/12/2009,00:00:00,TRUE,FALSE,10/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
"Saturday after Second Sunday of Advent (Ordination of the Bishop of Glasgow, 1998) ",12/12/2009,00:00:00,13/12/2009,00:00:00,TRUE,FALSE,11/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
Third Sunday of Advent [1] Violet,13/12/2009,00:00:00,14/12/2009,00:00:00,TRUE,FALSE,12/12/2009,23:45:00,,,,,,,,,,Normal,,Normal,3
