Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
First Sunday of Advent [1] Violet,29/11/2009,,,,TRUE,"Eucharist (First Sunday of Advent)
Jeremiah 33:14-16
Psalm 25:1-10
1 Thessalonians 3:9-13
Luke 21:25-36

Daily Prayer (Anticipation)
Isaiah 1:1-20
1 Thessalonians 5:1-11
John 3:1-17

Alternative Psalms
Morning: Psalm 9
Evening: Psalm 25",3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2009,,,,TRUE,,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2009,,,,TRUE,,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2009,,,,TRUE,,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2009,,,,TRUE,,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2009,,,,TRUE,,3
Saturday after First Sunday of Advent,05/12/2009,,,,TRUE,,3
Second Sunday of Advent [1] Violet,06/12/2009,,,,TRUE,"Eucharist (Second Sunday of Advent)
Baruch 5:1-9 or Malachi 3:1-4
Canticle: Luke 1:68-79
Philippians 1:3-11
Luke 3:1-6

Daily Prayer (Anticipation)
1 Kings 22:1-28
Romans 13:11-14
John 1:19-28

Alternative Psalms
Morning: Psalm 11
Evening: Psalm 40:11-17",3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2009,,,,TRUE,,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2009,,,,TRUE,,3
"Nicholas of Myra, Bishop, 4th century [6] White (translated from 7 December)",09/12/2009,,,,TRUE,,3
Thursday after Second Sunday of Advent,10/12/2009,,,,TRUE,,3
Friday after Second Sunday of Advent,11/12/2009,,,,TRUE,,3
"Saturday after Second Sunday of Advent (Ordination of the Bishop of Glasgow, 1998) ",12/12/2009,,,,TRUE,,3
Third Sunday of Advent [1] Violet,13/12/2009,,,,TRUE,"Eucharist (Third Sunday of Advent)
Zephaniah 3:14-20
Canticle: Isaiah 12:2-6
Philippians 4:4-7
Luke 3:7-18

Daily Prayer (Anticipation)
Isaiah 5:8-30
Acts 13:13-41
John 5:31-40

Alternative Psalms
Morning: Psalm 12
Evening: 68:1-8, (9-20)",3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2009,,,,TRUE,,3
Tuesday after Third Sunday of Advent,15/12/2009,,,,TRUE,,3
Wednesday after Third Sunday of Advent,16/12/2009,,,,TRUE,,3
Thursday after Third Sunday of Advent,17/12/2009,,,,TRUE,,3
Friday after Third Sunday of Advent,18/12/2009,,,,TRUE,,3
Saturday after Third Sunday of Advent,19/12/2009,,,,TRUE,,3
