Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,28/11/2010,,,,TRUE,FALSE,"First Sunday of Advent [1] Violet

EUCHARIST
Isaiah 2:1-5
Psalm 122
Romans 13:11-14
Matthew 24:36-44

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25",Normal,Normal,3
Monday after Advent 1,29/11/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Advent [1] Violet,05/12/2010,,,,TRUE,FALSE,"Second Sunday of Advent [1] Violet

EUCHARIST
Isaiah 11:1-10
Psalm 72:1-7, 18-19
Romans 15:4-13
Matthew 3:1-12

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17",Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2010,,,,TRUE,FALSE,,Normal,Normal,3
