Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,28/11/2010,,,,TRUE,FALSE,"First Sunday of Advent [1] Violet

Eucharist
Isaiah 2:1-5
Psalm 122
Romans 13:11-14
Matthew 24:36-44

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25",Normal,Normal,3
Monday after Advent 1,29/11/2010,,,,TRUE,FALSE,"Monday after Advent 1 [Violet]

DAILY EUCHARIST
Isaiah 4:2-6 
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Isaiah 1:1-20
1 Thessalonians 1:1-10
Luke 20:1-8",Normal,Normal,3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2010,,,,TRUE,FALSE,"Tuesday after Advent 1
Andrew, Apostle, Patron of Scotland [4] Red

DAILY EUCHARIST
Deuteronomy 30:11-14 or Isaiah 52:7-10
Psalm 19:1-6
Romans 10:(8b-11), 12-18
Matthew 4:18-22

MORNING PRAYER: Festivals
Isaiah 49:1-6
1 Corinthians 4:1-16

EVENING PRAYER: Festivals
Isaiah 55:1-5
John 1:35-42",Normal,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2010,,,,TRUE,FALSE,"Wednesday after Advent 1
Charles de Foucauld, Priest and Hermit, 1916 [6] White

DAILY EUCHARIST
Isaiah 25:6-9 
Psalm 23 
Matthew 15:29-39 

DAILY PRAYER: Anticipation 
Isaiah 2:1-11
1 Thessalonians 2:13-20
Luke 20:19-26",Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2010,,,,TRUE,FALSE,"Thursday after Advent 1
Nicholas Ferrar, Deacon, 1637 [6] White

DAILY EUCHARIST
Isaiah 26:1-6 
Psalm 118:19-24 
Matthew 7:21-27 

DAILY PRAYER: Anticipation 
Amos 4:6-13 
2 Peter 3:11-18 
Matthew 21:33-46",Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2010,,,,TRUE,FALSE,"Friday after Advent 1
Francis Xavier, Priest and Missionary, 1552 [6] White

DAILY EUCHARIST
Isaiah 29:17-24 
Psalm 27:1-6, 17-18 
Matthew 9:27-31 

DAILY PRAYER: Anticipation 
Isaiah 3:8-15
1 Thessalonians 4:1-12
Luke 20:41 - 21:4",Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2010,,,,TRUE,FALSE,"Saturday after Advent 1
Clement of Alexandria, Teacher of the Faith, c.210 [6] White

DAILY EUCHARIST
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35-10:1, 5-8

DAILY PRAYER: Anticipation 
Isaiah 4:2-6
1 Thessalonians 4:13-18
Luke 21:5-19",Normal,Normal,3
Second Sunday of Advent [1] Violet,05/12/2010,,,,TRUE,FALSE,"Second Sunday of Advent [1] Violet

EUCHARIST
Isaiah 11:1-10
Psalm 72:1-7, 18-19
Romans 15:4-13
Matthew 3:1-12

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17",Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2010,,,,TRUE,FALSE,"Monday after Advent 2
Nicholas of Myra, Bishop, 4th century [6] White

DAILY EUCHARIST
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Anticipation 
Isaiah 5:1-13
1 Thessalonians 5:1-11
Luke 21:20-28",Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2010,,,,TRUE,FALSE,"Tuesday after Advent 2
Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White

DAILY EUCHARIST
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Isaiah 5:14-25
1 Thessalonians 5:12-28
Luke 21:29-38",Normal,Normal,3
