Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,27/11/2011,,,,TRUE,FALSE,"First Sunday of Advent [1] Violet

Eucharist
Isaiah 64:1-9
Psalm 80:1-7, 17-19
1 Corinthians 1:3-9
Mark 13:24-37

Daily Prayer: Anticipation
Isaiah 1:1-12
1 Thessalonians 5:1-11
John 3:1-17

Alternative Psalms
Morning: 9
Evening: 25",Normal,Normal,3
Monday after First Sunday of Advent,28/11/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after First Sunday of Advent,29/11/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2011,,,,TRUE,FALSE,"Andrew, Apostle, Patron of Scotland [4] Red

DAILY EUCHARIST
Deuteronomy 30:11-14 or Isaiah 52:7-10
Psalm 19:1-6
Romans 10:(8b-11), 12-18
Matthew 4:18-22

MORNING PRAYER: Festivals
Isaiah 49:1-6
1 Corinthians 4:1-16

EVENING PRAYER: Festivals
Isaiah 55:1-5
John 1:35-42",Normal,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Advent [1] Violet,04/12/2011,,,,TRUE,FALSE,"Second Sunday of Advent [1] Violet

Eucharist
Isaiah 40:1-11
Psalm 85:1-2, 8-13
2 Peter 3:8-15a
Mark 1:1-8

Daily Prayer: Anticipation
1 Kings 22:1-28
Romans 13:11-14
John 1:19-28

Alternative Psalms
Morning: 11
Evening: 40:11-17",Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White (translated from 04 December)",05/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Second Sunday of Advent,09/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Second Sunday of Advent,10/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Advent [1] Violet,11/12/2011,,,,TRUE,FALSE,"Third Sunday of Advent [1] Violet

Eucharist
Isaiah 61:1-4, 8-11
Psalm 126 or Canticle: Luke 1:47-55
1 Thessalonians 5:16-24
John 1:6-8, 19-28

Daily Prayer: Anticipation
Isaiah 5:8-30
Acts 13:13-41
John 5:31-40

Alternative Psalms
Morning: 12
Evening: 68:1-8 (9-20)",Normal,Normal,3
Monday after Third Sunday of Advent,12/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Third Sunday of Advent,13/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Third Sunday of Advent,15/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Third Sunday of Advent,16/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Third Sunday of Advent,17/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Advent [1] Violet,18/12/2011,,,,TRUE,FALSE,"Fourth Sunday of Advent [1] Violet

Eucharist
2 Samuel 7:1-11, 16
Canticle: Luke 1:47-55 or Psalm 89:1-4, 19-26
Romans 16:25-27
Luke 1:26-38

Daily Prayer for 18 December: Anticipation
Genesis 3:8-15
Revelation 12:1-10
John 3:16-21",Normal,Normal,3
Monday after Fourth Sunday of Advent,19/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Fourth Sunday of Advent,20/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2011,,,,TRUE,FALSE,"Thomas, Apostle [4] Red (if not kept on 3 July)

DAILY EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

or readings for 21 December

DAILY EUCHARIST
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
Isaiah 28:9-22
Revelation 21:9-21
Luke 1:26-38",Normal,Normal,3
Thursday after Fourth Sunday of Advent,22/12/2011,,,,TRUE,FALSE,,Normal,Normal,3
