date,feast,colour
02/12/2012,First Sunday of Advent [1] Violet,violet
03/12/2012,"Francis Xavier, Priest and Missionary, 1552 [6] White",white
04/12/2012,"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",white
05/12/2012,"Nicholas Ferrar, Deacon, 1637 [6] White (transferred from 2 December)",white
06/12/2012,"Nicholas of Myra, Bishop, 4th century [6] White",white
07/12/2012,"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",white
08/12/2012,"Conception of Mary, Mother of the Lord [5] White",white
09/12/2012,Second Sunday of Advent [1] Violet,violet
10/12/2012,Monday after Second Sunday of Advent,violet
11/12/2012,Tuesday after Second Sunday of Advent,violet
12/12/2012,Wednesday after Second Sunday of Advent,violet
13/12/2012,Thursday after Second Sunday of Advent,violet
14/12/2012,"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",white
15/12/2012,Saturday after Second Sunday of Advent,violet
16/12/2012,Third Sunday of Advent [1] Violet,violet
17/12/2012,Monday after Third Sunday of Advent,violet
18/12/2012,Tuesday after Third Sunday of Advent,violet
19/12/2012,Wednesday after Third Sunday of Advent,violet
20/12/2012,Thursday after Third Sunday of Advent,violet
21/12/2012,"Thomas, Apostle [4] Red (if not kept on 3 July)",red
22/12/2012,Saturday after Third Sunday of Advent,violet
23/12/2012,Fourth Sunday of Advent [1] Violet,violet
24/12/2012,Christmas Eve [2],violet
25/12/2012,CHRISTMAS DAY [1] White,white
26/12/2012,"Stephen, Deacon and Martyr [4] Red",red
27/12/2012,"John, Apostle and Evangelist [4] White",white
28/12/2012,The Holy Innocents [4] White,white
29/12/2012,"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",red
30/12/2012,First Sunday after Christmas [2] White,white
31/12/2012,"John Wycliffe, Priest, 1384 [6] White",white
01/01/2013,THE NAMING OF JESUS [2] White,white
02/01/2013,"Seraphim of Sarov, 1833 [6] White",white
03/01/2013,"Josephine Butler, 1905 [6] White (transferred from 30 December)",white
04/01/2013,Friday after first Sunday after Christmas,white
05/01/2013,Saturday after first Sunday after Christmas,white
06/01/2013,THE EPIPHANY [1] White,white
07/01/2013,Monday after Epiphany,green
08/01/2013,Tuesday after Epiphany,green
09/01/2013,Wednesday after Epiphany,green
10/01/2013,"William Laud, Bishop, 1645 [6] Red",red
11/01/2013,"David, King of Scots, 1153 [6] Red",red
12/01/2013,Saturday after Epiphany,green
13/01/2013,First Sunday after Epiphany: The Baptism of the Lord [2] White,white
14/01/2013,"Kentigern (or Mungo), Bishop c.603 [4] White (translated from 13 January)",white
15/01/2013,"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)",white
16/01/2013,Wednesday after First Sunday after Epiphany,green
17/01/2013,"Antony of Egypt, Abbot, 356 [6] White",white
18/01/2013,The Confession of Peter [6] White,white
19/01/2013,Saturday after First Sunday after Epiphany,green
20/01/2013,Second Sunday after Epiphany [3] Green,green
21/01/2013,"Agnes, Martyr, c.304 [6] Red",red
22/01/2013,Tuesday after Second Sunday after Epiphany,green
23/01/2013,Wednesday after Second Sunday after Epiphany,green
24/01/2013,"Francis de Sales, Bishop, 1622 [6] White",white
25/01/2013,"The Conversion of Paul, Apostle [4] White",white
26/01/2013,"Timothy and Titus, Bishops [6] White",white
27/01/2013,Third Sunday after Epiphany [3] Green,green
28/01/2013,"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",white
29/01/2013,"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White (transferred from 27 January)",white
30/01/2013,"Charles I, King, 1649 [6] Red",red
31/01/2013,"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",red
01/02/2013,"Bride of Kildare, Abbess, c.525 [6] White",white
02/02/2013,THE PRESENTATION OF THE LORD [2] White,white
03/02/2013,Fourth Sunday after Epiphany [3] Green,green
04/02/2013,Saints and Martyrs of Europe [6] Red (transferred from 03 February),red
05/02/2013,Tuesday after Fourth Sunday after Epiphany,green
06/02/2013,"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",red
07/02/2013,Thursday after Fourth Sunday after Epiphany,green
08/02/2013,Friday after Fourth Sunday after Epiphany,green
09/02/2013,Saturday after Fourth Sunday after Epiphany,green
10/02/2013,Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet),green
11/02/2013,"Scholastica, Religious, 543 [6] White (transferred from 10 February)",white
12/02/2013,Tuesday after Sunday before Lent,green
13/02/2013,Ash Wednesday [1] Violet or Lenten Array,violet
14/02/2013,"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White",white
15/02/2013,"Thomas Bray, Priest and Missionary, 1730 [6] White",white
16/02/2013,Saturday after Ash Wednesday,violet
17/02/2013,First Sunday of Lent [1] Violet or Lenten Array,violet
18/02/2013,"Colman of Lindisfarne, Bishop, 767 [6] White",white
19/02/2013,"Martin Luther, 1545 [6] White",white
20/02/2013,"Finan of Lindisfarne, Bishop, 661 [6] White (transferred from 17 February)",white
21/02/2013,Thursday after First Sunday of Lent,violet
22/02/2013,Friday after First Sunday of Lent,violet
23/02/2013,"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",red
24/02/2013,Second Sunday of Lent [1] Violet or Lenten Array,violet
25/02/2013,Monday after Second Sunday of Lent,violet
26/02/2013,Tuesday after Second Sunday of Lent,violet
27/02/2013,Wednesday after Second Sunday of Lent,violet
28/02/2013,Thursday after Second Sunday of Lent,violet
01/03/2013,"David, Bishop, Patron of Wales, c.544 [6] White",white
02/03/2013,"Chad of Lichfield, Bishop, 672 [6] White",white
03/03/2013,Third Sunday of Lent [1] Violet or Lenten Array,violet
04/03/2013,"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",red
05/03/2013,"John and Charles Wesley, Priests, 1791 and 1788 [6] White (transferred from 03 March)",white
06/03/2013,"Baldred, Bishop, 608 [6] White",white
07/03/2013,"Perpetua and her Companions, Martyrs, 203 [6] Red",red
08/03/2013,"Duthac, Bishop, 1068 [6] White",white
09/03/2013,Saturday after Third Sunday of Lent,violet
10/03/2013,Fourth Sunday of Lent [1] Violet or Lenten Array (Mothering Sunday),violet
11/03/2013,"Kessog, Bishop, c.700 [6] Red (transferred from 10 March)",red
12/03/2013,Tuesday after Fourth Sunday of Lent,violet
13/03/2013,Wednesday after Fourth Sunday of Lent,violet
14/03/2013,Thursday after Fourth Sunday of Lent,violet
15/03/2013,Friday after Fourth Sunday of Lent,violet
16/03/2013,"Boniface of Ross, Bishop, 8th century [6] White",white
17/03/2013,Fifth Sunday of Lent [1] Violet or Lenten Array,violet
18/03/2013,"Patrick, Bishop, Patron of Ireland, 461 [4] White (translated from 18 March)",white
19/03/2013,Joseph of Nazareth [4] White,white
