Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,02/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White (transferred from 2 December)",05/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Advent [1] Violet,09/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Second Sunday of Advent,10/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Second Sunday of Advent,11/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Second Sunday of Advent,12/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Second Sunday of Advent,13/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Second Sunday of Advent,15/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Advent [1] Violet,16/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Third Sunday of Advent,17/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Third Sunday of Advent,18/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Third Sunday of Advent,19/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Third Sunday of Advent,20/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Third Sunday of Advent,22/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Advent [1] Violet,23/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Christmas Eve [2],24/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
CHRISTMAS DAY [1] White,25/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Stephen, Deacon and Martyr [4] Red",26/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"John, Apostle and Evangelist [4] White",27/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
The Holy Innocents [4] White,28/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",29/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday after Christmas [2] White,30/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
THE NAMING OF JESUS [2] White,01/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White",02/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Josephine Butler, 1905 [6] White (transferred from 30 December)",03/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after first Sunday after Christmas,04/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after first Sunday after Christmas,05/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE EPIPHANY [1] White,06/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Epiphany,07/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Epiphany,08/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Epiphany,09/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"William Laud, Bishop, 1645 [6] Red",10/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany,12/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,13/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White (translated from 13 January)",14/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)",15/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after First Sunday after Epiphany,16/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Antony of Egypt, Abbot, 356 [6] White",17/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
The Confession of Peter [6] White,18/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after First Sunday after Epiphany,19/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday after Epiphany [3] Green,20/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Agnes, Martyr, c.304 [6] Red",21/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Second Sunday after Epiphany,22/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Second Sunday after Epiphany,23/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Francis de Sales, Bishop, 1622 [6] White",24/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday after Epiphany [3] Green,27/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White (transferred from 27 January)",29/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Charles I, King, 1649 [6] Red",30/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",31/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Bride of Kildare, Abbess, c.525 [6] White",01/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE PRESENTATION OF THE LORD [2] White,02/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday after Epiphany [3] Green,03/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Saints and Martyrs of Europe [6] Red (transferred from 03 February) (Consecration of the Rt Revd Kevin Pearson, Bishop of Argyll and the Isles, 2011)",04/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Fourth Sunday after Epiphany,05/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",06/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Fourth Sunday after Epiphany,07/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Fourth Sunday after Epiphany,08/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Fourth Sunday after Epiphany,09/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet),10/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Scholastica, Religious, 543 [6] White (transferred from 10 February)",11/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Sunday before Lent,12/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Ash Wednesday [1] Violet or Lenten Array,13/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White",14/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Bray, Priest and Missionary, 1730 [6] White",15/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Ash Wednesday,16/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday of Lent [1] Violet or Lenten Array,17/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Colman of Lindisfarne, Bishop, 767 [6] White",18/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Martin Luther, 1545 [6] White",19/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Finan of Lindisfarne, Bishop, 661 [6] White (transferred from 17 February)",20/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after First Sunday of Lent,21/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after First Sunday of Lent,22/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",23/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Lent [1] Violet or Lenten Array,24/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Second Sunday of Lent,25/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Second Sunday of Lent,26/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Second Sunday of Lent,27/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Second Sunday of Lent,28/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"David, Bishop, Patron of Wales, c.544 [6] White",01/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Chad of Lichfield, Bishop, 672 [6] White",02/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Lent [1] Violet or Lenten Array,03/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",04/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"John and Charles Wesley, Priests, 1791 and 1788 [6] White (transferred from 03 March)",05/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Baldred, Bishop, 608 [6] White",06/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Perpetua and her Companions, Martyrs, 203 [6] Red",07/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Duthac, Bishop, 1068 [6] White",08/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Third Sunday of Lent,09/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Lent [1] Violet or Lenten Array (Mothering Sunday),10/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Kessog, Bishop, c.700 [6] Red (transferred from 10 March) (Ordination of the Most Revd David Chillingworth Bishop of St Andrews, Dunkeld and Dunblane, 2005)",11/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Fourth Sunday of Lent,12/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Fourth Sunday of Lent,13/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Fourth Sunday of Lent,14/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Fourth Sunday of Lent,15/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Boniface of Ross, Bishop, 8th century [6] White",16/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fifth Sunday of Lent [1] Violet or Lenten Array,17/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White (translated from 18 March)",18/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Joseph of Nazareth [4] White,19/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Cuthbert, Bishop, 687 [6] White",20/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Cranmer, Bishop, 1556 [6] Red",21/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Ken, Bishop, 1711 [6] White",22/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White (translated from 18 January)",23/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
The Sunday of the Passion (Palm Sunday) [1] Red or Violet,24/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday of Holy Week [1] Red or Violet,25/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday of Holy Week [1] Red or Violet,26/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday of Holy Week [1] Red or Violet,27/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Maundy Thursday [1] White at the Eucharist,28/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Good Friday [1] Red for the Liturgy; Hangings removed,29/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,30/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
EASTER DAY [1] White,31/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday of Easter week,01/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday of Easter week,02/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday of Easter week,03/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday of Easter week,04/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday of Easter week,05/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday of Easter week,06/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Easter [1] White; SPB First Sunday after Easter,07/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE ANNUNCIATION OF THE LORD [2] White (translated from 25 March),08/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red",09/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"William Law, Priest, 1761 [6] White",10/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",11/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"William Forbes, Bishop, 1634 [6] White",12/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Second Sunday of Easter,13/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Easter [1] White; SPB Second Sunday after Easter,14/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Third Sunday of Easter,15/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Magnus of Orkney, Martyr, c.1116 [6] Red",16/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",17/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Third Sunday of Easter,18/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Third Sunday of Easter,19/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Maelrubha of Applecross, Abbot, 722 [6] White",20/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter (Vocations Sunday),21/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White (transferred from 21 April)",22/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"George, Patron of England, Martyr, c.303 [6] Red (Ordination of the Rt Revd Dr Gregor Duncan, Bishop of Glasgow and Galloway, 2010)",23/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Fourth Sunday of Easter,24/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Mark, Evangelist [4] Red",25/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Albert Ernest Laurie, Priest, 1937 [6] White",26/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Fourth Sunday of Easter,27/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fifth Sunday of Easter [1] White; SPB Fourth Sunday after Easter,28/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",29/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Fifth Sunday of Easter,30/04/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Philip and James, Apostles [4] Red",01/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Athenasius, Bishop and Teacher of the Faith, 373 [6] White",02/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Fifth Sunday of Easter,03/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Fifth Sunday of Easter,04/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Sixth Sunday of Easter [1] White; SPB Fifth Sunday after Easter,05/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Sixth Sunday of Easter,06/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Sixth Sunday of Easter,07/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Julian of Norwich, c.1413 [6] White",08/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
ASCENSION DAY [1] White,09/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Sixth Sunday of Easter,10/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Sixth Sunday of Easter,11/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Seventh Sunday of Easter [1] White; SPB Sunday after Ascension Day (Ordination of the Rt Revd Dr John Armes, Bishop of Edinburgh, 2012)",12/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Rattray, Bishop, 1743 [6] White (transferred from 12 May)",13/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Matthias, Apostle [4] Red",14/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Seventh Sunday of Easter,15/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Seventh Sunday of Easter,16/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Seventh Sunday of Easter,17/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Seventh Sunday of Easter,18/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE DAY OF PENTECOST (Whitsunday) [1] Red,19/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after the Day of Pentecost (Whitsunday),20/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Helena, c.330 [6] White",21/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after the Day of Pentecost (Whitsunday),22/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"William of Perth (or Rochester), 1201 [6] White",23/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after the Day of Pentecost (Whitsunday),24/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",25/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Trinity Sunday [2] White; Pentecost 1,26/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Augustine of Canterbury, Bishop, c.604 [6] White (transferred from 26 May)",27/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Trinity Sunday,28/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Trinity Sunday,29/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
Corpus Christi (Thanksgiving for Holy Communion) [5] White,30/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
The Visit of Mary to Elizabeth [5] White,31/05/2013,,,,TRUE,FALSE,,Normal,Normal,3
