Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,02/12/2012,,,,TRUE,FALSE,"Week of Advent 1
FIRST SUNDAY OF ADVENT [1] Violet

EUCHARIST
Jeremiah 33:14-16
Psalm 25:1-10
1 Thessalonians 3:9-13
Luke 21:25-36

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25",Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White (transferred from 2 December)",05/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2012,,,,TRUE,FALSE,"Conception of Mary, Mother of the Lord [5] White
Week of Advent 1
Saturday after First Sunday of Advent

DAILY EUCHARIST (White)
Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or
Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or
Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

DAILY PRAYER: Anticipation 
Isaiah 4:2-6
1 Thessalonians 4:13-18
Luke 21:5-19",Normal,Normal,3
Second Sunday of Advent [1] Violet,09/12/2012,,,,TRUE,FALSE,"Week of Advent 2
SECOND SUNDAY OF ADVENT [1] Violet

EUCHARIST
Baruch 5:1-9 or Malachi 3:1-4
Canticle: Luke 1:68-79
Philippians 1:3-11
Luke 3:1-6

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17",Normal,Normal,3
Monday after Second Sunday of Advent,10/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Second Sunday of Advent,11/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Second Sunday of Advent,12/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Second Sunday of Advent,13/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Second Sunday of Advent,15/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Advent [1] Violet,16/12/2012,,,,TRUE,FALSE,"Week of Advent 3
THIRD SUNDAY OF ADVENT [1] Violet

EUCHARIST
Zephaniah 3:14-20
Canticle: Isaiah 12:2-6
Philippians 4:4-7
Luke 3:7-18

DAILY PRAYER: Anticipation 
Malachi 3:1-4; 4
Philippians 4:4-7
Luke 1:57-66

ALTERNATIVE PSALMS
Morning: Psalm 12
Evening: Psalm 68:1-8, (9-20)",Normal,Normal,3
Monday after Third Sunday of Advent,17/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Third Sunday of Advent,18/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Third Sunday of Advent,19/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Third Sunday of Advent,20/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2012,,,,TRUE,FALSE,"Thomas, Apostle [4] Red (if not kept on 3 July)
Week of Advent 3
Friday after Third Sunday of Advent

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7",Normal,Normal,3
Saturday after Third Sunday of Advent,22/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Advent [1] Violet,23/12/2012,,,,TRUE,FALSE,"Week of Advent 4
FOURTH SUNDAY OF ADVENT [1] Violet

EUCHARIST
Micah 5:2-5a
Canticle: Luke 1:47-55 or Psalm 80:1-7
Hebrews 10:5-10
Luke 1:39-45, (46-55)

DAILY PRAYER: Anticipation
Isaiah 33:17-22
Revelation 22:6-11, 18-20
Luke 1:57-66",Normal,Normal,3
Christmas Eve [2],24/12/2012,,,,TRUE,FALSE,"Christmas
CHRISTMAS EVE [2] (24 December)

DAILY EUCHARIST (Violet)
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

MORNING PRAYER: Anticipation 
Isaiah 35:1-10
Revelation 22:12-17, 21
Luke 1:67-80

EVENING PRAYER: Incarnation/Festivals
Isaiah 59:15b-21
Philippians 2:5-11",Normal,Normal,3
CHRISTMAS DAY [1] White,25/12/2012,,,,TRUE,FALSE,"Christmas
CHRISTMAS DAY [1] White

EUCHARIST
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Zechariah 2:10-13
1 John 4:7-16
John 3:31-36",Normal,Normal,3
"Stephen, Deacon and Martyr [4] Red",26/12/2012,,,,TRUE,FALSE,"The Remaining Days of Christmas
Stephen, Deacon and Martyr [4] Red (Wednesday 26 December)

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

MORNING PRAYER: Incarnation/Festivals
2 Chronicles 24:17-22
Acts 6:1-7

EVENING PRAYER: Incarnation/Festivals
Wisdom of Solomon 4:7-15
Acts 7:59 - 8:8",Normal,Normal,3
"John, Apostle and Evangelist [4] White",27/12/2012,,,,TRUE,FALSE,"The Remaining Days of Christmas
John, Apostle and Evangelist [4] White (Thursday 27 December)

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

MORNING PRAYER: Incarnation/Festivals
Proverbs 8:22-30
John 13:20-35

EVENING PRAYER: Incarnation/Festivals
Isaiah 44:1-8
1 John 5:1-12",Normal,Normal,3
The Holy Innocents [4] White,28/12/2012,,,,TRUE,FALSE,"The Remaining Days of Christmas
The Holy Innocents [4] White (Friday 28 December)

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

MORNING PRAYER: Incarnation/Festivals
Isaiah 49:13-23
Matthew 18:1-14

EVENING PRAYER: Incarnation/Festivals
Isaiah 54:1-13
Mark 10:13-16",Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",29/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday after Christmas [2] White,30/12/2012,,,,TRUE,FALSE,"Week of Christmas 1
First Sunday after Christmas [2] White

EUCHARIST
1 Samuel 2:18-20, 26
Psalm 148
Colossians 3:12-17
Luke 2:41-52

DAILY PRAYER: Incarnation 
Isaiah 49:7-13
Colossians 1:9-20
Luke 2:41-52

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9",Normal,Normal,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
THE NAMING OF JESUS [2] White,01/01/2013,,,,TRUE,FALSE,"Week of Christmas 2
Tuesday 1 January (New Year's Day)
THE NAMING OF JESUS [2] White

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Genesis 17:1-12a, 15-16
Colossians 2:6-12
John 16:23b-30",Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White",02/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Josephine Butler, 1905 [6] White (transferred from 30 December)",03/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after first Sunday after Christmas,04/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after first Sunday after Christmas,05/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
